Size,Shape,Undertone,Occasion,City,Temp,Weather,SizeColors,ToneColors,PrintTips,OccasionTips,WeatherTips
Small,Undefined,Warm,official,Nairobi,18,Clouds,"Light, bright colors (whites, pastels, vibrant hues) add presence.","Coral, peach, golden yellow, olive green.",Monochromatic prints are slimming and versatile.,,
Small,Undefined,Warm,official,Nairobi,18,Clouds,"Light, bright colors (whites, pastels, vibrant hues) add presence.","Coral, peach, golden yellow, olive green.",Monochromatic prints are slimming and versatile.,,
Small,Undefined,Cool,fun,Nairobi,18,Clouds,"Light, bright colors (whites, pastels, vibrant hues) add presence.","Emerald green, ruby red, sapphire blue.",Monochromatic prints are slimming and versatile.,,
Small,Undefined,Cool,fun,Nairobi,18,Clouds,"Light, bright colors (whites, pastels, vibrant hues) add presence.","Emerald green, ruby red, sapphire blue.",Monochromatic prints are slimming and versatile.,,
Medium,Undefined,Neutral,casual,Nairobi,15,Clouds,Balanced tones maintain natural proportions.,"Dusty pink, jade, taupe, creamy neutrals.",Monochromatic prints are slimming and versatile.,"Jeans, comfortable dresses; functional for outdoors.",
Medium,Undefined,Warm,party,Nairobi,17,Clouds,Balanced color tones.,"Coral, peach, golden yellow, olive green.",Monochromatic prints are slimming and versatile.,,
Large,Undefined,Warm,gala,Nairobi,19,Clouds,"Dark, slimming colors (black, navy, deep greens).","Coral, peach, golden yellow, olive green.",Monochromatic prints are slimming and versatile.,"Gowns, cocktail dresses, elegant suits.",
Large,Spoon / Pear,Neutral,nairobi,18,Clouds,Dark shades = slimming effect.,"Dusty pink, jade, taupe, creams.",Bold tops; solids or vertical prints below.,Monochrome prints = slimming & versatile.,"Jeans, sundress, casual chic",Statement tops; Dark bottoms; Flared pants/skirts
Large,Undefined,Warm,Nairobi,17,Clouds
Large,Undefined,Warm,Nairobi,17,Clouds
Small,Rectangle,Warm,Nairobi,17,Clouds
Small,Undefined,Warm,Nairobi,17,Clouds
Small,Undefined,warm,nairobi,16,Clouds
nairobi,"casual.g., black-tie, cocktail, casual","Weather in nairobi: 13.81°C, Clouds
Dress Tip: Sweaters + jacket.

Occasion Tip: Elegant gown or formal suit.
Weather in nairobi: 13.81°C, Clouds
Dress Tip: Sweaters + jacket.

Occasion Tip: Elegant gown or formal suit.
Weather in nairobi: 13.81°C, Clouds
Dress Tip: Sweaters + jacket.

Occasion Tip: Elegant gown or formal suit."
nairobi,"casual.g., black-tie, cocktail, casual","Weather in nairobi: 13.81°C, Clouds
Dress Tip: Sweaters + jacket.

Occasion Tip: Elegant gown or formal suit.
Weather in nairobi: 13.81°C, Clouds
Dress Tip: Sweaters + jacket.

Occasion Tip: Elegant gown or formal suit.
Weather in nairobi: 13.81°C, Clouds
Dress Tip: Sweaters + jacket.

Occasion Tip: Elegant gown or formal suit."
mombasa,casual,"Weather in nairobi: 13.81°C, Clouds
Dress Tip: Sweaters + jacket.

Occasion Tip: Comfy casual outfit.
Weather in mombasa: 23.45°C, Clouds
Dress Tip: Cotton layers.

Occasion Tip: Comfy casual outfit."
mombasa,casual,"Weather in nairobi: 13.81°C, Clouds
Dress Tip: Sweaters + jacket.

Occasion Tip: Comfy casual outfit.
Weather in mombasa: 23.45°C, Clouds
Dress Tip: Cotton layers.

Occasion Tip: Comfy casual outfit."
nairobi,Casual,"Weather in nairobi: 13.81°C, Clouds
Dress Tip: Sweaters + jacket.

Occasion Tip: Comfy casual outfit."
nairobi,Select occasion,13.73,Clouds,"Weather: 13.73°C, Clouds
Sweaters + jacket.

Occasion: Select occasion
Comfy casual outfit."
nairobi,casual,"Size Category: Small
Body Shape: Undefined
Undertone Palette: Coral, peach, warm red, olive
Color Tips: Light colors and playful patterns
Shape Tips: Experiment with patterns and balance.
Weather in nairobi: 14.93°C, Clouds
Weather Tips: Sweaters + jacket.
Occasion Tips: Comfy casual outfit."
nairobi,"e.g., black-tie, cocktailcasual, casual","Weather in nairobi: 14.93°C, Clouds
Dress Tip: Sweaters + jacket.

Occasion Tip: Elegant gown or formal suit."
nairobi,"e.g., black-tie, cocktailcasual, casual","Weather in nairobi: 14.93°C, Clouds
Dress Tip: Sweaters + jacket.

Occasion Tip: Elegant gown or formal suit."
mombasa,Casual,"Weather in mombasa: 23.21°C, Clouds
Dress Tip: Cotton layers.

Occasion Tip: Comfy casual outfit."
nairobi,Casual,"Weather in nairobi: 13.95°C, Clouds
Dress Tip: Sweaters + jacket.

Occasion Tip: Comfy casual outfit."
mombasa,Casual,"Weather in mombasa: 26.23°C, Clouds
Dress Tip: Light fabrics + sun care.

Occasion Tip: Comfy casual outfit."
nairobi,Casual,"Weather in nairobi: 21.62°C, Clouds
Dress Tip: Cotton layers.

Occasion Tip: Comfy casual outfit."
nairobi,Casual,"Weather in nairobi: 21.93°C, Clouds
Dress Tip: Cotton layers.

Occasion Tip: Comfy casual outfit."
kisumu,Casual,"Weather in kisumu: 25.89°C, Clouds
Dress Tip: Light fabrics + sun care.

Occasion Tip: Comfy casual outfit."
nairobi,Casual,"Weather in nairobi: 16.62°C, Clouds
Dress Tip: Cotton layers.

Occasion Tip: Comfy casual outfit."
kisumu,Cocktail,"Weather in kisumu: 18.92°C, Clouds
Styling Recommendation According to Weather: Cotton layers.

Styling Recommendation According to Occasion: Dress or jumpsuit with heels.
Recommendation of outfit colour according to undertone: Taupe, blush, jade, soft white
Weather in kisumu: 18.92°C, Clouds
Styling Recommendation According to Weather: Cotton layers.

Styling Recommendation According to Occasion: Dress or jumpsuit with heels.
Recommendation of outfit colour according to undertone: Taupe, blush, jade, soft white"
